,id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
417,ea1BBiqXiY8XyTenY8Pi,sábado,13:32:43.510000,"13:35:56,538","13:36:10,382","13:36:42,102",efectivo,
415,eT8anTWunJlfoHiKV2Zk,sábado,14:44:02.344000,"14:44:09,569","14:44:14,172","14:44:35,065",efectivo,
409,e12O8kdmWoIHXtzYRtiM,sábado,13:11:03.841000,"13:11:13,204","13:12:49,485","13:13:32,149",Tarjeta,
406,duReiJd2JLXDP229xK1d,sábado,14:28:04.460000,"14:29:09,577","14:29:24,342","14:29:33,999",efectivo,
405,daSojTAdNUJG05IgmjRd,sábado,14:41:18.967000,"14:41:35,240","14:41:49,640","14:42:17,935",efectivo,
399,d8RSMOXt1qcYUhlRgA3Y,sábado,15:00:11.356000,"15:05:51,663","15:05:58,049","15:06:21,517",efectivo,
439,gN2fvnOEtu7K7Veorqg8,sábado,14:18:05.266000,"14:19:03,147","14:19:22,226","14:19:37,137",Tarjeta,
396,d4fnRd2HTsWhN3ExFlta,sábado,13:19:51.785000,"13:19:52,038","13:20:39,271","13:20:54,602",efectivo,
395,d2rRnBCDeFpZPMjJQLmE,sábado,14:48:01.858000,"14:49:45,619","14:49:55,810","14:50:07,041",efectivo,
394,d22pEbYKJycZzug2W4oY,sábado,14:59:45.334000,"15:05:30,551","15:05:41,575","15:05:48,286",Tarjeta,
436,g8GrmkejhVDkfW5xO3Lh,sábado,13:33:45.732000,"13:37:36,025","13:38:08,078","13:38:21,957",Tarjeta,
437,gC2TBzIb7qSxpY3wjsTm,sábado,12:01:08.102000,"12:03:10,524","12:03:22,055","12:03:27,545",Tarjeta,
438,gHFECzFkO1U02J9kNnzs,sábado,13:42:18.475000,"13:43:22,302","13:43:33,176","13:43:45,386",efectivo,
357,Zi5foABKVOcmtLN4tWNH,sábado,14:14:25.637000,"14:14:58,128","14:15:09,869","14:16:16,708",Tarjeta,Datáfono se dañó
356,Zfiv6Txe9c2SjG06SwsX,sábado,12:12:34.945000,"12:13:05,508","12:13:17,767","12:13:23,837",efectivo,
353,ZGVeiNm6y0nK8OiZDCQr,sábado,13:35:16.922000,"13:35:19,053","13:35:33,865","13:35:37,823",efectivo,
478,kfi0OL7UsQooSV6gHZkM,sábado,11:38:53.556000,"11:39:34,823","11:39:42,418","11:40:03,685",Tarjeta,
469,jFCeIG4JuBugASdhGMCI,sábado,13:30:05.014000,"13:30:16,676","13:30:27,431","13:30:59,626",Tarjeta,
